Name,Bezugseinheit,"Energie, Kilojoule (kJ)","Energie, Kalorien (kcal)","Fett, total (g)","Fettsäuren, gesättigt (g)","Fettsäuren, einfach ungesättigt (g)","Fettsäuren, mehrfach ungesättigt (g)",Cholesterin (mg),"Kohlenhydrate, verfügbar (g)",Zucker (g),Stärke (g),Nahrungsfasern (g),Protein (g),Salz (NaCl) (g),Wasser (g),,,,,,,,,,,,,,,,,,,,,Phosphor (P) (mg),Eisen (Fe) (mg),Jod (I) (µg),Zink (Zn)  (mg),Selen (Se) (µg)
"Joghurt, Vanille",pro 100g essbarer Anteil,413,98,3,1.8,0.7,0.1,9,14,13.1,0,0,3.7,0.1,77.6,,,,,,,,,,,,,,,,,,,,,100,0,6.5,0.5,k.A.
"Joghurtalternative aus Soja, mit Früchten oder Aroma",pro 100g essbarer Anteil,344,82,1.8,0.3,0.4,1,0,12.2,10.9,0.9,1.4,3.4,0.1,80.8,,,,,,,,,,,,,,,,,,,,,86,0.5,5,0.1,10
"Joghurtalternative aus Soja, mit Früchten oder Aroma, mit Calcium angereichert",pro 100g essbarer Anteil,344,82,1.8,0.3,0.4,1,0,12.2,10.9,0.9,1.4,3.4,0.1,80.8,,,,,,,,,,,,,,,,,,,,,86,0.5,5,0.1,10
"Joghurtalternative aus Soja, nature",pro 100g essbarer Anteil,187,45,2.2,0.4,0.5,1.1,0,1.5,0.6,0,1.5,4,0.1,90.4,,,,,,,,,,,,,,,,,,,,,27,0.4,10,0.1,10
"Joghurtalternative aus Soja, nature, mit Calcium angereichert",pro 100g essbarer Anteil,187,45,2.2,0.4,0.5,1.1,0,1.5,0.6,0,1.5,4,0.1,90.4,,,,,,,,,,,,,,,,,,,,,27,0.4,10,0.1,10
"Johannisbeere, rot, roh",pro 100g essbarer Anteil,188,45,0.5,Sp.,Sp.,Sp.,0,5,5,Sp.,8.2,1.1,0,82.8,,,,,,,,,,,,,,,,,,,,,30,1.2,1,0.2,k.A.
"Johannisbeere, schwarz, roh",pro 100g essbarer Anteil,242,58,0.3,Sp.,Sp.,Sp.,0,9,9,Sp.,7,1.3,0,78.2,,,,,,,,,,,,,,,,,,,,,34,1.3,1,0.3,k.A.
"Johannisbeerkuchen, hausgemacht (mit süssem Mürbeteig)",pro 100g essbarer Anteil,925,222,12.5,4.7,4.6,1.7,28,21.1,8.2,12.7,5.4,3.7,0.3,57.6,,,,,,,,,,,,,,,,,,,,,59,1.1,9.2,0.4,k.A.
"Johannisbeerkuchen, hausgemacht, gebacken (mit Kuchenteig)",pro 100g essbarer Anteil,569,136,6.1,1.7,2.5,1,18,14.2,5.1,9.1,5.9,3.2,0.2,70.7,,,,,,,,,,,,,,,,,,,,,55,1.1,3.7,0.4,k.A.
"Johannisbeerkuchen, hausgmacht, gebacken (mit Blätterteig)",pro 100g essbarer Anteil,573,138,6.7,1.9,2.8,1.1,18,13.4,5.1,8.3,5.8,3,0.3,71.2,,,,,,,,,,,,,,,,,,,,,46,1,3.6,0.3,k.A.
"Kaffee löslich, Pulver",pro 100g essbarer Anteil,1070,253,0,0,0,0,0,42.6,3.6,7.1,19.1,11.2,0.1,3.5,,,,,,,,,,,,,,,,,,,,,350,4.4,20,0.5,k.A.
"Kaffee, schwarz, ungezuckert",pro 100 ml,6,2,0,0,0,0,0,0.3,0,0,0.1,0.1,0,99.6,,,,,,,,,,,,,,,,,,,,,2.1,0,0.1,0,k.A.
Kaffeerahm,pro 100g essbarer Anteil,664,161,15,9,3.5,0.7,50,3.8,3.8,0,0,2.6,0.2,77.5,,,,,,,,,,,,,,,,,,,,,91,0,11,0.3,k.A.
Kakaobutter,pro 100g essbarer Anteil,3700,900,100,61.1,31.4,2.3,3,0,0,0,0,0,0,0.2,,,,,,,,,,,,,,,,,,,,,0,0,0,0,k.A.
Kakaopulver,pro 100g essbarer Anteil,1740,419,24.5,14.4,8.2,0.8,0,10.8,2.2,8.6,32.7,22.5,0,5.1,,,,,,,,,,,,,,,,,,,,,660,13,2.8,5.7,k.A.
"Kaki, roh",pro 100g essbarer Anteil,299,71,0.2,Sp.,Sp.,Sp.,0,15.3,15.3,0,2.5,0.7,0,80.7,,,,,,,,,,,,,,,,,,,,,20,0.4,1,0.1,k.A.
"Kalb, Brust, gekocht (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,975,234,15.5,6.6,7.3,1.2,104,0,0,k.A.,0,23.5,0.1,60.9,,,,,,,,,,,,,,,,,,,,,160,0.9,2.7,3.7,k.A.
"Kalb, Brust, roh",pro 100g essbarer Anteil,848,204,14.5,6.2,6.8,1.1,73,0,0,k.A.,0,18.3,0.2,63.9,,,,,,,,,,,,,,,,,,,,,170,0.6,1.9,2.6,k.A.
"Kalb, Eckstück, roh",pro 100g essbarer Anteil,434,103,1.6,0.5,0.5,0.2,65,0,0,0,0,22.2,0.2,75.3,,,,,,,,,,,,,,,,,,,,,220,2.3,0.1,2.3,k.A.
"Kalb, Filet, roh",pro 100g essbarer Anteil,502,119,3.8,1.3,1.3,0.4,78,0,0,0,0,21.2,0.2,73.7,,,,,,,,,,,,,,,,,,,,,210,1.4,0.1,2.5,k.A.
"Kalb, Gehacktes, roh",pro 100g essbarer Anteil,437,104,2.4,1.2,1.3,0.4,72,0,0,k.A.,0,20.5,0.1,75.3,,,,,,,,,,,,,,,,,,,,,190,0.8,1.9,3.3,k.A.
"Kalb, Geschnetzeltes, gebraten (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,521,123,1.1,0.5,0.5,0.3,89,0,0,k.A.,0,28.2,0.1,70.6,,,,,,,,,,,,,,,,,,,,,230,0.8,2.6,4.5,k.A.
"Kalb, Geschnetzeltes, roh",pro 100g essbarer Anteil,415,98,1.1,0.5,0.5,0.3,66,0,0,k.A.,0,22,0.1,75.2,,,,,,,,,,,,,,,,,,,,,200,0.6,1.9,3.3,k.A.
"Kalb, Haxe, geschmort (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,695,165,5.1,1.6,1.6,0.5,109,0,0,0,0,29.7,0.1,65.1,,,,,,,,,,,,,,,,,,,,,270,3.5,0.2,3.5,k.A.
"Kalb, Haxe, roh",pro 100g essbarer Anteil,513,122,4.4,1.4,1.4,0.4,70,0,0,0,0,20.7,0.2,73.8,,,,,,,,,,,,,,,,,,,,,220,2.3,0.1,2.3,k.A.
"Kalb, Kotelett, roh",pro 100g essbarer Anteil,674,161,8.7,3.6,3.7,0.8,62,0,0,k.A.,0,20.7,0.1,69.8,,,,,,,,,,,,,,,,,,,,,180,0.6,0.1,2.9,k.A.
"Kalb, Leber, roh",pro 100g essbarer Anteil,569,135,4.3,1.3,0.8,1.1,350,4.6,0,k.A.,0,19.6,0.2,70.3,,,,,,,,,,,,,,,,,,,,,330,7.4,4.3,4,k.A.
"Kalb, Milken, roh",pro 100g essbarer Anteil,418,99,3.4,1.3,1.1,0.2,268,0,0,0,0,17.2,0.2,77.8,,,,,,,,,,,,,,,,,,,,,560,1.9,4,1.9,k.A.
"Kalb, Niere, roh",pro 100g essbarer Anteil,470,112,5,2.2,1.2,0.3,364,1,Sp.,0,0,15.8,0.4,77,,,,,,,,,,,,,,,,,,,,,240,12,4.2,1.8,k.A.
"Kalb, Nierstück, Steak, gebraten (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,606,144,3.9,1.3,1.3,0.4,106,0,0,0,0,27.3,0.3,68.9,,,,,,,,,,,,,,,,,,,,,240,1.8,0.1,3.4,k.A.
"Kalb, Nierstück, Steak, roh",pro 100g essbarer Anteil,476,113,2.4,1.1,1.2,0.4,65,0,0,k.A.,0,22.8,0.1,73.4,,,,,,,,,,,,,,,,,,,,,200,0.5,3.5,2.3,k.A.
"Kalb, Runder Mocken, roh",pro 100g essbarer Anteil,439,104,1.8,0.8,0.9,0.4,63,0,0,k.A.,0,21.9,0.1,74.6,,,,,,,,,,,,,,,,,,,,,210,0.5,1.8,2.1,k.A.
"Kalb, Schulter, Braten, im Ofen gebraten (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,684,163,5.4,1.6,1.5,0.6,121,0,0,0,0,28.6,0.3,66.1,,,,,,,,,,,,,,,,,,,,,270,2,0.1,5.9,k.A.
"Kalb, Schulter, Braten, roh",pro 100g essbarer Anteil,520,124,4.8,1.4,1.4,0.5,81,0,0,0,0,20.2,0.2,73.7,,,,,,,,,,,,,,,,,,,,,200,1.4,0.1,4,k.A.
"Kalb, Voressen, roh",pro 100g essbarer Anteil,429,102,2.4,1.1,1.3,0.4,72,0,0,k.A.,0,20,0.1,74.1,,,,,,,,,,,,,,,,,,,,,190,0.6,0.8,3.7,k.A.
"Kalb, Zunge, roh",pro 100g essbarer Anteil,754,181,11.6,4.2,5.3,0.9,100,1.9,Sp.,0,0,17.2,0.2,68.4,,,,,,,,,,,,,,,,,,,,,190,2.8,2.3,2.6,k.A.
"Kalbfleisch (Durchschnitt exkl. Innereien, Kotelett), roh",pro 100g essbarer Anteil,536,128,4.8,1.9,2,0.5,71,0,0,0,0,21.1,0.2,74.1,,,,,,,,,,,,,,,,,,,,,200,1.1,1.3,2.6,k.A.
Kalbsbratwurst,pro 100g essbarer Anteil,943,228,19.2,7.9,9.7,1.9,53,1.2,1.2,0,0,12.5,1.9,63.4,,,,,,,,,,,,,,,,,,,,,180,0.5,k.A.,1.5,5.1
"Kalbspiccata, zubereitet",pro 100g essbarer Anteil,909,217,11.6,3,5.8,1.4,155,5.5,0.1,5.3,0.3,22.5,0.9,60.1,,,,,,,,,,,,,,,,,,,,,260,2.3,14,2.5,k.A.
"Kalbsplätzli, gebraten (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,542,128,1.6,0.5,0.5,0.2,88,0,0,0,0,28.4,0.2,70,,,,,,,,,,,,,,,,,,,,,260,3,0.1,3.2,k.A.
"Kalbsplätzli, gebraten in HOLL-Rapsöl",pro 100g essbarer Anteil,775,185,8.6,0.9,5.9,1.1,83,0,0,0,0,26.8,1,64.6,,,,,,,,,,,,,,,,,,,,,240,2.8,0.3,3,k.A.
"Kalbsragout mit Sauce, zubereitet",pro 100g essbarer Anteil,353,84,3.2,0.6,2.1,0.5,40,2.9,1.4,1.5,0.5,10.7,0.7,82.7,,,,,,,,,,,,,,,,,,,,,91,0.4,1,2.1,k.A.
"Kalmar, roh",pro 100g essbarer Anteil,352,83,1.1,0.2,0.1,0.3,150,2.3,Sp.,0,0,16,0.4,79.4,,,,,,,,,,,,,,,,,,,,,200,0.6,20,1.1,k.A.
"Kaninchen (Durchschnitt), gekocht (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,858,205,10.3,3.5,1.7,2.7,96,0,0,0,0,28,0.2,61.7,,,,,,,,,,,,,,,,,,,,,290,2.2,0.8,1.9,k.A.
"Kaninchen (Durchschnitt), roh",pro 100g essbarer Anteil,626,150,7.5,2.5,1.2,2,70,0,0,0,0,20.5,0.1,71.1,,,,,,,,,,,,,,,,,,,,,210,1.6,0.6,1.4,k.A.
"Kaninchen, Filet, roh",pro 100g essbarer Anteil,469,111,1.5,0.5,0.5,0.4,51,0,0,k.A.,0,24.3,0.1,72.7,,,,,,,,,,,,,,,,,,,,,210,0.3,4.1,0.6,k.A.
"Karotte, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,166,40,0.3,0.1,0,0.1,0,7,6.8,0.2,2.7,0.8,0.1,89.2,,,,,,,,,,,,,,,,,,,,,28,0.2,1.7,0.1,k.A.
"Karotte, roh",pro 100g essbarer Anteil,158,38,0.3,0.1,0,0.1,0,6.6,6.4,0.2,2.6,0.8,0.1,89.2,,,,,,,,,,,,,,,,,,,,,26,0.2,1.6,0.1,k.A.
Karottensaft,pro 100 ml,138,33,0.1,Sp.,Sp.,Sp.,0,6.8,4.8,Sp.,0.9,0.7,0.1,90.6,,,,,,,,,,,,,,,,,,,,,39,0.5,15,0.1,k.A.
"Kartoffel, geschält, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,320,75,0.1,0,0,0.1,0,15.6,0.7,14.7,2.1,2,0,80.2,,,,,,,,,,,,,,,,,,,,,47,0.4,3.9,0.3,k.A.
"Kartoffel, geschält, roh",pro 100g essbarer Anteil,320,76,0.1,0,0,0.1,0,15.6,0.7,14.7,2.1,2,0,78.7,,,,,,,,,,,,,,,,,,,,,48,0.4,4,0.3,k.A.
"Kartoffelflocken, mit Milchpulver und Salz (Instant-Kartoffelstock)",pro 100g essbarer Anteil,1540,365,5.3,3.1,1.2,0.5,13,65.5,10.3,55.3,4.7,11.3,3.1,13,,,,,,,,,,,,,,,,,,,,,380,2,6,1.2,k.A.
"Kartoffelgratin dauphinois, zubereitet",pro 100g essbarer Anteil,533,128,7.8,4.6,1.8,0.4,23,11.3,2.4,8.8,1.3,2.5,0.3,77.1,,,,,,,,,,,,,,,,,,,,,69,0.3,6.4,0.3,k.A.
"Kartoffelgratin Savoyer Art, zubereitet",pro 100g essbarer Anteil,314,75,2.3,1.3,0.6,0.2,6,10.6,0.5,9.9,1.4,2.1,0.4,83.5,,,,,,,,,,,,,,,,,,,,,51,0.3,5,0.3,k.A.
Kartoffelsalat mit Essig-Öl-Sauce,pro 100g essbarer Anteil,400,96,3.8,0.3,2.2,1.1,0,12.8,0.6,12.1,1.7,1.7,0.2,80,,,,,,,,,,,,,,,,,,,,,39,0.3,3.8,0.2,k.A.
Kartoffelsalat mit Mayonnaise-Joghurt-Sauce,pro 100g essbarer Anteil,335,80,2.2,0.4,0.6,1.1,4,12.4,0.7,11.5,1.6,1.8,0.2,82,,,,,,,,,,,,,,,,,,,,,42,0.3,4.4,0.3,k.A.
Kartoffelstärke,pro 100g essbarer Anteil,1430,336,0.1,0,0,0.1,0,83.1,0,83.1,0.1,0.6,0,15.7,,,,,,,,,,,,,,,,,,,,,7,1.8,1,0.2,k.A.
"Kartoffelstock, zubereitet (mit Rahm und Butter)",pro 100g essbarer Anteil,578,139,8.4,5,2,0.5,24,12.9,1.1,11.7,1.6,2,0.1,75,,,,,,,,,,,,,,,,,,,,,50,0.3,4.2,0.3,k.A.
"Kartoffelstock, zubereitet (mit teilentrahmter Milch und Butter)",pro 100g essbarer Anteil,371,88,2.6,1.5,0.6,0.2,7,13.2,1.4,11.7,1.6,2.2,0.1,80.3,,,,,,,,,,,,,,,,,,,,,55,0.3,4.9,0.3,k.A.
"Kartoffelstock, zubereitet (mit Vollmilch und Butter)",pro 100g essbarer Anteil,379,90,2.8,1.7,0.6,0.2,8,13.2,1.4,11.7,1.6,2.2,0.1,80.1,,,,,,,,,,,,,,,,,,,,,54,0.3,4.8,0.3,k.A.
Käse in Salzlake (Kuhmilch),pro 100g essbarer Anteil,1060,256,20.7,12.4,4.9,0.9,62,1.4,1.4,0,0,16,3.7,55.3,,,,,,,,,,,,,,,,,,,,,340,0.2,Sp.,Sp.,k.A.
Käse in Salzlake (Schaf- und Ziegenmilch),pro 100g essbarer Anteil,1010,242,18.8,12.1,4.8,0.9,45,1.5,0,0,0,16.7,3.3,58.6,,,,,,,,,,,,,,,,,,,,,360,0.2,Sp.,2,k.A.
"Käsekuchen, gebacken (mit Blätterteig)",pro 100g essbarer Anteil,1250,300,21.9,12.4,5.4,1.3,125,11.7,1.2,10.3,0.5,13.8,0.9,52.1,,,,,,,,,,,,,,,,,,,,,290,0.7,14,2,k.A.
"Käsekuchen, gebacken (mit Kuchenteig)",pro 100g essbarer Anteil,1260,303,20.8,11.8,5.1,1.3,122,14.5,1.2,13.1,0.6,14.3,0.9,49.8,,,,,,,,,,,,,,,,,,,,,290,0.7,14,2,k.A.
Käsereibutter,pro 100g essbarer Anteil,3070,747,82.5,49.5,19.4,3.8,246,0.6,0.5,0,0,0.4,0,16.5,,,,,,,,,,,,,,,,,,,,,18,0,0,0.2,k.A.
"Käseschnitte, zubereitet",pro 100g essbarer Anteil,1140,272,12.1,6.8,2.9,1,73,26,1,24.7,2.3,13.8,1.4,46.2,,,,,,,,,,,,,,,,,,,,,290,1.2,16,1.9,k.A.
Kebab im Fladenbrot,pro 100g essbarer Anteil,516,123,3.6,0.8,1.2,1.3,18,14.5,2.2,12.2,1.2,7.6,0.6,73.3,,,,,,,,,,,,,,,,,,,,,74,0.5,3.1,0.9,k.A.
"Kefe, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,308,73,0.2,0,0,0.1,0,10.8,5.4,5.4,5.3,4.3,0,79.3,,,,,,,,,,,,,,,,,,,,,86,1.8,4.3,0.3,k.A.
"Kefe, roh",pro 100g essbarer Anteil,285,68,0.2,0,0,0.1,0,10,5,5,5,4,0,79.6,,,,,,,,,,,,,,,,,,,,,80,2,4,0.3,k.A.
Ketchup,pro 100g essbarer Anteil,498,117,0.4,0.1,0.1,0.2,0,26,24.8,1.2,0.9,2,2.8,66.7,,,,,,,,,,,,,,,,,,,,,40,0.9,0.9,0.1,k.A.
"Kichererbse, gekocht (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,532,127,2,0.3,0.5,1.1,0,16.8,0.9,15.9,6.2,7.3,0,67.7,,,,,,,,,,,,,,,,,,,,,140,1.9,0.2,0.9,k.A.
"Kichererbse, getrocknet",pro 100g essbarer Anteil,1370,327,4.9,0.6,1.4,2.7,0,44.3,2.4,41.9,15.5,18.6,0,13,,,,,,,,,,,,,,,,,,,,,380,5.4,0.6,2.4,k.A.
Kirsch,pro 100 ml,964,233,0,0,0,0,0,0,0,0,0,0,0,61.7,,,,,,,,,,,,,,,,,,,,,0,0,0,0,k.A.
"Kirsche, gedünstet, abgetropft (ohne Zugabe von Zucker)",pro 100g essbarer Anteil,297,70,0.6,0.1,0.1,0.2,0,14.1,14.1,0,1.6,1.4,0,82.4,,,,,,,,,,,,,,,,,,,,,16,0.4,1.1,0.1,k.A.
"Kirsche, roh",pro 100g essbarer Anteil,314,74,0.5,0.1,0.1,0.2,0,15.3,15.3,0,1.7,1.3,0,80.8,,,,,,,,,,,,,,,,,,,,,17,0.4,1,0.1,k.A.
"Kirschenkuchen, hausgemacht, gebacken (mit Blätterteig)",pro 100g essbarer Anteil,657,157,6.7,2,2.9,1.2,18,20.3,11.9,8.3,1.5,3.1,0.3,68.5,,,,,,,,,,,,,,,,,,,,,38,0.4,3.6,0.2,k.A.
"Kirschenkuchen, hausgemacht, gebacken (mit Kuchenteig)",pro 100g essbarer Anteil,653,156,6.1,1.8,2.6,1.1,18,21.1,11.9,9.1,1.5,3.4,0.2,68.1,,,,,,,,,,,,,,,,,,,,,46,0.6,3.7,0.3,k.A.
"Kiwi, roh",pro 100g essbarer Anteil,229,54,0.6,Sp.,Sp.,Sp.,0,9.9,9.8,0.1,2.5,1.1,0,83,,,,,,,,,,,,,,,,,,,,,37,0.4,1,0.4,k.A.
"Knäckebrot, Vollkorn",pro 100g essbarer Anteil,1400,332,1.7,0.3,0.2,1.1,0,61.1,3.3,57.6,12.4,12,1.5,13.7,,,,,,,,,,,,,,,,,,,,,340,4,41,3.4,4
"Knäckebrot, Vollkorn mit Leinsamen",pro 100g essbarer Anteil,1480,352,5.7,0.7,1,3.7,0,55.2,3.1,51.8,13.8,12.9,1.5,13.4,,,,,,,,,,,,,,,,,,,,,360,4.3,41,3.5,k.A.
"Knäckebrot, Vollkorn mit Sesam",pro 100g essbarer Anteil,1520,360,6.9,1,2.1,3.1,0,55.3,3.1,51.8,12.4,13.1,1.5,13.4,,,,,,,,,,,,,,,,,,,,,370,4.4,41,3.6,5.6
"Knoblauch, roh",pro 100g essbarer Anteil,578,137,0.5,0.1,Sp.,0.3,0,24.5,2.4,22.1,3,7,0,63.7,,,,,,,,,,,,,,,,,,,,,140,1.4,2.7,0.6,k.A.
"Knollensellerie, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,119,29,0.3,0,0,0.2,0,2.4,1.9,0.5,5,1.5,0.2,90.7,,,,,,,,,,,,,,,,,,,,,64,0.6,2.5,0.4,k.A.
"Knollensellerie, roh",pro 100g essbarer Anteil,118,28,0.3,Sp.,Sp.,0.2,0,2.4,1.9,0.5,5,1.5,0.3,90,,,,,,,,,,,,,,,,,,,,,63,0.7,2.5,0.4,k.A.
Knöpflimehl,pro 100g essbarer Anteil,1490,351,1.3,0.2,0.1,0.5,0,71.3,0.9,70.3,3.3,11.9,0,13.2,,,,,,,,,,,,,,,,,,,,,94,0.8,4.2,1.8,k.A.
Kochbutter,pro 100g essbarer Anteil,3060,745,82.2,49.3,19.3,3.8,221,0.7,0.6,0,0,0.5,0,16.6,,,,,,,,,,,,,,,,,,,,,21,0,0,0.2,0.5
Kochpökelware (Durchschnitt),pro 100g essbarer Anteil,926,223,15.6,6,7.2,1.1,49,0.7,0.7,0,0,19.8,2.8,63.9,,,,,,,,,,,,,,,,,,,,,240,0.5,1.9,2.3,9.7
Kochsalz mit Jod,pro 100g essbarer Anteil,0,0,0,0,0,0,0,0,0,0,0,0,98,0.1,,,,,,,,,,,,,,,,,,,,,8,0.3,2500,0.1,0.1
Kochsalz mit Jod und Fluor,pro 100g essbarer Anteil,0,0,0,0,0,0,0,0,0,0,0,0,100,0.1,,,,,,,,,,,,,,,,,,,,,8,0.3,2500,0.1,0.1
Kochsalz ohne Jod und Fluor,pro 100g essbarer Anteil,0,0,0,0,0,0,0,0,0,0,0,0,100,0.1,,,,,,,,,,,,,,,,,,,,,8,0.3,20,0.1,0.1
Kochspeck,pro 100g essbarer Anteil,1330,322,27.6,10.6,12.9,2.2,49,0.6,0.6,0,0,17.8,2.8,50.5,,,,,,,,,,,,,,,,,,,,,150,0.4,1.1,2,11
Kochwürste (Durchschnitt),pro 100g essbarer Anteil,1230,297,25.6,9.4,11.7,3.1,93,1.1,1,0.1,0.1,15.3,2.6,57.7,,,,,,,,,,,,,,,,,,,,,120,8.8,3.9,2.5,k.A.
"Kohlgemüse (Durchschnitt), gekocht (ohne Zugabe von Salz und Fett)",pro 100g essbarer Anteil,118,28,0.3,0.1,0,0.1,0,2.9,2.7,0.2,2.6,2.2,0,92.1,,,,,,,,,,,,,,,,,,,,,47,0.5,3.1,0.3,k.A.
"Kohlgemüse (Durchschnitt), roh",pro 100g essbarer Anteil,123,29,0.3,0.1,0,0.1,0,3,2.9,0.2,2.7,2.2,0,91.7,,,,,,,,,,,,,,,,,,,,,50,0.7,3.2,0.3,k.A.
"Kohlrabi, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,119,28,0.2,0,0,0.1,0,3.9,3.7,0.2,1.5,2,0,92.4,,,,,,,,,,,,,,,,,,,,,53,0.4,0.7,0.2,k.A.
"Kohlrabi, roh",pro 100g essbarer Anteil,113,27,0.2,0,0,0.1,0,3.7,3.6,0.1,1.4,1.9,0.1,91.6,,,,,,,,,,,,,,,,,,,,,50,0.5,0.7,0.2,k.A.
Kokosfett,pro 100g essbarer Anteil,3680,894,99,85.9,6,1.4,0,0,0,0,0,0.8,0,0.1,,,,,,,,,,,,,,,,,,,,,1,0,Sp.,Sp.,k.A.
Kokosmakronen,pro 100g essbarer Anteil,2350,567,41.4,39.1,1.9,0.3,0,37.1,35.9,0,9.4,6.8,0.2,6,,,,,,,,,,,,,,,,,,,,,120,1.8,5.3,0.9,5.9
Kokosnuss,pro 100g essbarer Anteil,1580,384,36.5,32.1,2.2,0.7,0,4.8,4.8,0,9,4.6,0.1,43.9,,,,,,,,,,,,,,,,,,,,,94,2.3,1.2,0.8,4
"Kokosnuss, getrocknet (Kokosrapseln, Kokosflocken)",pro 100g essbarer Anteil,2800,681,65.2,61.6,3,0.5,0,8.4,6.6,0,14.8,7.6,0,3.3,,,,,,,,,,,,,,,,,,,,,180,2.8,6,1.5,6.9
Kokosnussmilch,pro 100g essbarer Anteil,884,214,21.3,18.9,0.9,0.2,0,3.1,1.7,0,0.1,2.4,0,72.9,,,,,,,,,,,,,,,,,,,,,96,3.3,1,0.6,3
"Kondensmilch, gezuckert",pro 100g essbarer Anteil,1430,339,10,6,2.4,0.5,36,54.3,54.3,0,0,8,0.3,25.6,,,,,,,,,,,,,,,,,,,,,250,0.2,18,0.9,k.A.
"Kondensmilch, ungezuckert",pro 100g essbarer Anteil,547,131,7.6,4.6,1.8,0.4,20,9.3,9.3,0,0,6.4,0.2,74.8,,,,,,,,,,,,,,,,,,,,,190,0.1,6.7,0.8,3
Konfitüre,pro 100g essbarer Anteil,1040,246,0.5,Sp.,Sp.,Sp.,0,58.7,58.7,0,2.2,0.5,0,36,,,,,,,,,,,,,,,,,,,,,7,1.4,1,0.2,k.A.
"Konfitüre, energievermindert, mit Süssstoffen",pro 100g essbarer Anteil,576,136,0.5,Sp.,Sp.,Sp.,0,31.9,31.9,Sp.,0.8,0.5,0.1,65.3,,,,,,,,,,,,,,,,,,,,,15,0.4,2,Sp.,k.A.
"Kopfsalat, roh",pro 100g essbarer Anteil,60,14,0.2,0,0,0.1,0,1.1,1,0,1.6,1.3,0,95,,,,,,,,,,,,,,,,,,,,,17,0.4,3.3,0.2,k.A.
"Kotelett (Durchschnitt aus Kalb, Schwein, Lamm), gebraten (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,932,223,12,4.6,5.3,1.2,81,0,0,k.A.,0,28.8,0.1,59.3,,,,,,,,,,,,,,,,,,,,,230,0.6,1.4,2.1,k.A.
"Kotelett (Durchschnitt aus Kalb, Schwein, Lamm), roh",pro 100g essbarer Anteil,740,177,10.2,3.9,4.5,1,57,0,0,k.A.,0,21.3,0.1,68.5,,,,,,,,,,,,,,,,,,,,,190,0.5,1,1.6,k.A.
"Krustentiere (Durchschnitt), roh",pro 100g essbarer Anteil,316,75,1,0.1,0.2,0.3,123,1,0,0.4,0,15.5,0.7,82.6,,,,,,,,,,,,,,,,,,,,,190,1.2,170,2.7,k.A.
"Kuchenteig (mit Butter), ungebacken",pro 100g essbarer Anteil,1570,375,21.2,12.4,4.9,1.3,55,38.5,0.3,37.8,1.8,6.7,0.8,32.5,,,,,,,,,,,,,,,,,,,,,72,0.8,0.7,0.7,1.4
"Kuchenteig (mit pflanzlichem Fett), ungebacken",pro 100g essbarer Anteil,1540,370,20.6,5.7,9.4,3.9,0,38.4,0.2,37.9,1.8,6.7,0.9,33.1,,,,,,,,,,,,,,,,,,,,,72,0.9,1,0.6,1.3
"Kuchenteig, Vollkorn (mit Butter), ungebacken",pro 100g essbarer Anteil,1550,372,21.5,12.4,4.9,1.8,55,33.8,0.7,33.1,6.1,7.6,0.8,31.5,,,,,,,,,,,,,,,,,,,,,200,2.8,1.5,1.9,2.9
"Kuchenteig, Vollkorn (mit pflanzichem Fett), ungebacken",pro 100g essbarer Anteil,1530,366,21,5.7,9.4,4.3,0,33.8,0.6,33.2,6.1,7.6,0.9,32.1,,,,,,,,,,,,,,,,,,,,,200,2.8,1.9,1.9,2.8
"Kürbis-Piccata, zubereitet",pro 100g essbarer Anteil,567,136,8.5,2.3,4.3,0.9,69,9.4,3.7,5.6,1.1,5,0.2,76.1,,,,,,,,,,,,,,,,,,,,,93,0.7,9.3,1.2,k.A.
"Kürbis, gedämpft (ohne Zugabe von Salz)",pro 100g essbarer Anteil,102,24,0.1,0.1,0,0,0,4.6,4,0.6,1,0.6,0,93.6,,,,,,,,,,,,,,,,,,,,,21,0.3,0.2,0.8,k.A.
"Kürbis, roh",pro 100g essbarer Anteil,98,23,0.1,0.1,0,0,0,4.5,3.9,0.6,1,0.6,0,93.3,,,,,,,,,,,,,,,,,,,,,20,0.4,0.2,0.9,k.A.
Kürbiskerne,pro 100g essbarer Anteil,2550,615,49.1,8.7,16.2,21,0,4.7,1.4,1.5,6,35.6,0,5.2,,,,,,,,,,,,,,,,,,,,,1090,8.2,2.7,5,11
